date,store_nbr,DAIRY_sales,BEVERAGES_sales,BREAD/BAKERY_sales,POULTRY_sales,PREPARED FOODS_sales,SEAFOOD_sales,month,year,season,week_day,holiday,city,state,type,cluster,transactions
8/1/2017,1,668,2627,373.70898,312.36002,81.507,33.489998,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,D,13,1795
8/1/2017,10,374,1843,106,168.123,28,6,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,C,15,984
8/1/2017,11,798,5204,716,570.012,113.772,8,8,2017,Winter,Tuesday,FALSE,Cayambe,Pichincha,B,6,2694
8/1/2017,12,410,1706,187,158.27501,45,11,8,2017,Winter,Tuesday,FALSE,Latacunga,Cotopaxi,C,15,1221
8/1/2017,13,289,1529,129,107.5,19,1,8,2017,Winter,Tuesday,FALSE,Latacunga,Cotopaxi,C,15,898
8/1/2017,14,335,1651,224,85.126,82,2,8,2017,Winter,Tuesday,FALSE,Riobamba,Chimborazo,C,7,1272
8/1/2017,15,381,2057,182,156.968,70,8,8,2017,Winter,Tuesday,FALSE,Ibarra,Imbabura,C,15,1481
8/1/2017,16,279,2128,190,79.274,53,1,8,2017,Winter,Tuesday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,C,3,770
8/1/2017,17,862,3524,385,508.443,43,12,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,C,12,1642
8/1/2017,18,754,3062,599,278.525,69.109,25.047,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,B,16,1499
8/1/2017,19,324,2820,271,102.849,40,3,8,2017,Winter,Tuesday,FALSE,Guaranda,Bolivar,C,15,1171
8/1/2017,2,859,3141,678,447.255,86.066,39.959,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,D,13,1819
8/1/2017,20,865,4523,590,350.444,58.478,15,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,B,6,1639
8/1/2017,21,744,3793,521,230.174,177.688,11,8,2017,Winter,Tuesday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1204
8/1/2017,22,358,2230,134,164.704,43,1,8,2017,Winter,Tuesday,FALSE,Puyo,Pastaza,C,7,772
8/1/2017,23,536,1608,280.103,406.437,31.043,9.016,8,2017,Winter,Tuesday,FALSE,Ambato,Tungurahua,D,9,963
8/1/2017,24,1256,3741,735.021,592.606,102.882,25.967,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,D,1,2196
8/1/2017,25,600,1716,324.688,179.05,22.114,2,8,2017,Winter,Tuesday,FALSE,Salinas,Santa Elena,D,1,839
8/1/2017,26,330,1739,306,207.41301,19,0,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,D,10,701
8/1/2017,27,1030,3404,709.472,453.784,64.972,16.095,8,2017,Winter,Tuesday,FALSE,Daule,Guayas,D,1,1586
8/1/2017,28,1265,4502,823,367.141,138.154,11,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,E,10,1453
8/1/2017,29,906,4187,880,270.204,62.724,8,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,E,10,1355
8/1/2017,3,2170,8192,1203.214,1096.983,266.688,94.229004,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,D,8,3066
8/1/2017,30,321,2377,193,121.682,27,3,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,C,3,863
8/1/2017,31,873,4436,783,195.588,49.037,11,8,2017,Winter,Tuesday,FALSE,Babahoyo,Los Rios,B,10,1570
8/1/2017,32,180,1480,135,112.531,18,1,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,C,3,724
8/1/2017,33,472,2829,323,334.937,45,2,8,2017,Winter,Tuesday,FALSE,Quevedo,Los Rios,C,3,1098
8/1/2017,34,669,2499,768,161.876,48.846,4,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,B,6,1999
8/1/2017,35,166,1404,265,41.912,21,1,8,2017,Winter,Tuesday,FALSE,Playas,Guayas,C,3,667
8/1/2017,36,810,4359,632,185.715,58.847,3,8,2017,Winter,Tuesday,FALSE,Libertad,Guayas,E,10,1297
8/1/2017,37,958,3084,672.712,293.686,78.411,8.918,8,2017,Winter,Tuesday,FALSE,Cuenca,Azuay,D,2,1533
8/1/2017,38,923,6098,465.002,151.754,116.414,13.13,8,2017,Winter,Tuesday,FALSE,Loja,Loja,D,4,1585
8/1/2017,39,738,4310,671,251.043,53.795998,20.07,8,2017,Winter,Tuesday,FALSE,Cuenca,Azuay,B,6,1527
8/1/2017,4,743,2914,421.759,389.833,63.556,18.982,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,D,9,1362
8/1/2017,40,829,5379,580,213.853,77,2,8,2017,Winter,Tuesday,FALSE,Machala,El Oro,C,3,1656
8/1/2017,41,697,2845,430.118,223.527,60.402,2.224,8,2017,Winter,Tuesday,FALSE,Machala,El Oro,D,4,1178
8/1/2017,42,911,5818,643.267,252.587,51.685,25.619,8,2017,Winter,Tuesday,FALSE,Cuenca,Azuay,D,2,1183
8/1/2017,43,820,5396,606,310.519,173.069,3,8,2017,Winter,Tuesday,FALSE,Esmeraldas,Esmeraldas,E,10,1527
8/1/2017,44,2554,10808,1578.066,1153.592,301.043,101.231,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,A,5,4063
8/1/2017,45,2129,9111,1188.072,1281.795,219.92801,93.341,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,A,11,3701
